13 26 1
# src dest latence bande_passante cout securite
3 5 55.7 48 3 8
12 6 79.4 585 9.2 6
7 1 94.7 576 9.7 3
8 11 80.2 36 7 6
10 7 74.3 435 13.9 6
5 11 63.6 53 3.5 1
12 4 84.2 209 10.3 7
4 5 54.1 111 17.1 1
2 12 83.3 494 19.4 5
2 5 72.1 626 7.8 8
12 3 57.3 55 10.1 10
5 0 50.9 57 11.8 10
8 0 65.9 923 3.9 10
9 5 52.8 296 15.6 6
9 10 95.4 223 0.7 9
0 7 76.5 51 13.7 8
1 10 20.8 931 6.2 2
8 10 48.6 14 11.4 2
1 6 44 119 8.6 2
9 12 12.1 337 16.5 3
4 11 3.9 473 12.7 2
10 6 3.5 374 19.6 6
7 6 67.7 618 13.7 4
6 5 23.2 143 17.2 8
4 3 11.1 332 13.2 1
10 9 53.5 688 2.9 1
